Season,Episode,Character,Line
5,11,Mr. Garrison,well we gave them the 15 billion dollar bailout and they fired their employees anyway so now we have three people to clear 400 passengers
6,7,Mr. Garrison,every ideas been done butters even before the simpsons
1,11,Chef,if we can have dinner tonight
15,4,Butters,i dont understand it an im startin uhh im starting to feel angry rawr
1,1,Kyle,come on ike i promise ill be nice to you from now on
1,8,Mr. Garrison,well you dont see that everyday
3,8,Mr. Mackey,be sure to help yourselves to the crab soufflé and uh eh juanita  juanita  we need some more finger sandwiches
2,4,Mr. Mackey,huuhh  ow mkay
1,7,Kyle,it looks like a ufo
12,7,Butters,lets do it
5,2,Kenny,yeah
18,2,Randy,yeah yeah yeah yeah yeah yeah i am lorde yeah yeah yeah lorde lorde call me lorde yeah yeah yeah yeah yeah yeah
2,4,Mr. Mackey,okay  now as i was sayin uh drugs are bad you shouldnt do drugs eh uh if you do them youre bad because drugs are bad mkay its a bad thing to do drugs souh so dont be bad by doing drugs unkay thatd be bad cause drugs are bad mkay
7,1,Kyle,aw dude dont do that thats gay
6,5,Butters,no i really dont have a babysitter thats why im stayin at stans
5,7,Cartman,oh bitch
7,3,Cartman,what hu how can you feel bad somebody else is gonna pay for our crime
3,5,Cartman,jakov
2,8,Cartman,im trying to make the best out of a bad situation i dont need to hear crap from a bunch of hippie freaks living in denial screw you guys im going home
4,1,Kenny,huh uh  aaaaaa  ufff  ugh
1,2,Mr. Garrison,no mr hat i wont do it
15,4,Butters,hang on hes coming back out there he is whos a little guy
1,9,Mr. Mackey,so this must be a pretty hard time of year for you being christmas and all  do the other kids make fun of ya
4,2,Kenny,woohoo
3,7,Cartman,well youre pretty ugly but you dont have to be dating 22year olds i mean what kind of scumbag asshole dates 12year old girls
15,3,Mr. Mackey,hold it hold it stop  what the fuck was that
7,4,Mr. Garrison,okay lets all take out our math homework and go over the problems
6,2,Butters,uh youre not really gonna go down that k13 run are ya stan
6,14,Mr. Garrison,now stalin was a big silly when it came to
10,1,Chef,come on children youre my sexual fantasy lets all make sweet love
17,2,Sharon,oh i did that felt really great
18,6,Randy,what is wrong with you stan you said you stopped buying canadough
6,4,Butters,but theyah theyre angry at me
1,3,Kenny,maybe shell suck my dick
8,8,Kenny,giant douche vote for him
7,14,Stan,cause i need to know why she broke up
5,7,Kyle,what the hell is wrong with them
14,9,Mr. Garrison,what are you talking about
1,3,Cartman,yeah and he walks with a limp because one of his legs is missing and where his leg should be theres nothing but…patrick duffy
3,10,Cartman,cool this game rules
10,12,Mr. Mackey,m mkay yayou realize evolution has been pretty much uhhh proven
5,7,Mr. Mackey,mm oh oh ms choksondik okay okay
9,1,Randy,believe what
2,4,Mr. Garrison,okay children lets take our seats this morning were going to have a special lecture by your school counselor mr mackey
3,17,Mr. Mackey,uh arent those our boys
14,3,Randy,its alright i just want you to look at me when we make love and not just at my balls ill be home soon babe
16,11,Kenny,the american government finally gave in to the natives and had the mahalo rewards cards reinstated our two cultures it appears will once again live in peace
5,13,Butters,oh ah well he knew youd say that so he told me to tell you that you dont wanna miss this
13,9,Butters,kyle every boy pays for kisses do you know what i am saying if youve got a girl and she kisses you sooner or later youre paying for it youve gotta take her out to lunch take her to a movie and then spend time listenin to all her stupid problems look look at stan right there  hes gotta sit there and listen to her stupid motherfuckin problems cause she kisses him if you ask me thats a lot more than the five dollars my company charges
16,5,Mr. Mackey,oh well uh wwe think that bullyin is is is bad mkay and uh and when we see bullying in the school we tell the students you know that uh that thats bad mkay
6,5,Butters,butters aw i lose huh
9,2,Randy,vehicle shell holding
6,17,Cartman,oh heh are the uh tabulations all closed up then
1,9,Mr. Garrison,okay  kyle is there anything you can do for the christmas play that isnt related to jesus
2,10,Sharon,yyup it looks like youve got chickenpox alright
2,4,Mr. Garrison,okay children lets take our seats this morning were going to have a special lecture by your school counselor mr mackey
13,14,Stan,come on dude
6,15,Chef,thats right we have to go see him in new york
2,4,Kyle,ooh who the hell cares hes not even my responsibility
1,1,Chef,oh boy the aliens are going to make first contact hey down here we are ready for your wisdom  and youve only got 20 minutes before sanford and son is on
6,7,Butters,waaaah  hay uh let me on let me on
1,1,Cartman,heh heh thats a thats thats a little joke heh heh
6,9,Stan,give the print to us so that we can protect it from spielberg and anyone else who wants to alter it
5,7,Mr. Mackey,i dont know it doesnt feel wrong  ive been thinking about you a lot ms choksondik
2,11,Cartman,i love cheesy poofs
16,11,Butters,uhbubut im from here
4,6,Kenny,aaaarrrrhhh
16,6,Kyle,aaaaaaaaaaaaaah
5,6,Kyle,but its okay stan because i finally figured it out you see if someone like cartman can get a million dollars and his own theme park then there is no god theres no god dude
18,5,Butters,no eric i dont wanna d
3,4,Kenny,woohooo
2,4,Kyle,mkay
8,8,Kyle,youre doing the right thing stan dont you feel like youre a part of something now
16,9,Stan,yeah dude its really serious
3,3,Mr. Garrison,hoh wow you dont see that every day
3,9,Kyle,kyle broflovski
12,14,Butters,im so hungry but just just remembering how that blood tasted before ju blood is all clammy and tomatoy it makes me wanna
14,10,Sharon,is that really necessary for stan its just his locker
14,4,Kyle,wow theres a lot of profiles here kyle broflovskis amazed stan has so many facebook friends hey kyle broflovskis amazed isiah is also a facebook friend of stans
16,6,Cartman,a marina
10,1,Chef,well how about i meet you boys after work and we make love
2,10,Sharon,dont you worry stanley youre going to be okay
9,2,Randy,vehicle shell holding
5,3,Butters,i am prepared  hoh jeez eh it sure got cold in here
4,6,Kenny,woohoo
11,2,Cartman,fine whatever you guys dont have any proof i put butters wiener in my mouth it will be your word against mine and we all know that everyone trusts me way more than you guys  you guys please dont tell anybody
4,4,Chef,hold on a second you children want to go see phil collins
6,15,Stan,okay listen to me listen very carefully  this is a trick that i am doing okay watch all im gonna do is say a name that im gonna pick at random okay  they want me to acknowledge pete or peter
14,10,Sharon,why
14,8,Kenny,what
1,9,Mr. Garrison,oh wait wait wait was it the pagan remark
11,4,Cartman,mr thompson you have to call off the clinton rally theres a terrorist in south park
10,11,Kyle,prove it
18,7,Kyle,hey cartman i need to talk to you
12,14,Butters,i am going to my room now for i must slumber per se
1,1,Stan,i do not
4,9,Chef,youre welcome now go away
3,17,Mr. Mackey,when was that
3,12,Cartman,we could shove a stick up her ass and use her like a puppet rowr rowr im scary grandma
13,4,Sharon,why what happened
2,13,Kyle,you dirty son of a bitch you never told us that we had to win
5,3,Stan,oh my god theyve killed kenny
3,10,Kyle,so now i should stop liking chinpokoman because you all dont
2,10,Randy,yeah isnt that great stanley
9,7,Mr. Mackey,mkay uhh jimmy why dont you come up here and write down the names of two narcotics
5,7,Chef,well i hate to say it but you all got what you deserved
12,14,Butters,oh jesus oh god butters what are you doing  i im butters
16,13,Mr. Mackey,look i want to return this orange bracelet mkay  its worthless now
13,14,Randy,aaaaaahhh aw awww
4,2,Stan,dude wheres the money
2,13,Stan,hold on cartman
7,1,Chef,and youre the only person i could think of who might be able to help us jeff
12,7,Butters,make that two
10,1,Chef,thats right randy
13,14,Butters,hawww you lived
2,9,Chef,my salty chocolate balls must have rejuvenated him
8,1,Kyle,okay hang on guys ill use my special power to see into the future and find out where we should head next
1,11,Mr. Garrison,hi mrs campbell
2,2,Kenny,roger
2,18,Kyle,steve
18,9,Sharon,i dont know shelly
11,5,Stan,stan
14,8,Cartman,no i cant ill always be like this
4,4,Cartman,so its decided phil collins concert for all of us  hooray  oh oh hold still kenny
9,2,Randy,sharon have have you seen stan
4,7,Mr. Garrison,ive always wanted to write a novel
1,10,Chef,oh god in heaven what have i done
12,1,Butters,i just uh well i dont know if i should be helping you make kyle look silly
10,8,Cartman,lets go get him
4,10,Kenny,oh shit
18,7,Butters,you you you mean ih  im not grounded
15,7,Randy,why cant you ever just support me
14,14,Randy,yes and so this is my take on a pizza its an asian slaw on flat bread deconstructed and topped with a nice parmesan aioli
4,3,Sharon,what should we do randy i like these romanians fine but i hope that old woman isnt planning on staying here much longer
12,14,Butters,i am going to my room now for i must slumber per se
1,7,Chef,mayor weve got a big problem
7,10,Randy,get off the streets get off the streets
2,14,Mr. Garrison,i brought you some more juice mr twig are you feeling any better  i dont know who would want to hurt you like this but i promise nobody will ever hurt you again ever  mistmr twig are you okay mistmr twig  aaaggghhh mr twig is broken in half who did this  you wont get away with this you bastards
2,10,Sharon,and then the doctor said that its much worse as you get older my daughter is in pretty bad shape now but if she were in her twenties she could die
5,7,Chef,the first thing that kids learn about sex shouldnt be some bitchscare tactic about stds
13,9,Butters,boy oh boy this sure is great ive been thinkin sally i could probably drum up some third grade customers if you could do kisses before school too we could make double the money
6,17,Kenny,hey guys whats goin on
3,17,Mr. Mackey,im gonna kick your ass mkay
14,8,Cartman,oh okay  lets go nascar
2,10,Sharon,okay lemme see  oh goody youve got a fever
6,5,Chef,yes i pressed menu three times  no its givin me the same error message  yes i read the instruction manual
7,1,Chef,whos havin butt sex
3,2,Randy,not me im not a scientist im a hack even if i found a solution those people would still all hate me
